39
指標プレビュー,Indicators
編成上限,Deploy Limit
基礎水圧,Base Press
増加水圧,Increase Press
使用水圧,Used Press
延焼速度,Spread Speed
初期経過,Start Turn
環境プレビュー,Env. Preview
初期消火確率,Base Chance
初期炎上区画数,Start Fires
区画間延焼速度,Spread Rate
Contract ID,Contract ID
Contract Grade,Contract Grade
統計,Stats
全体統計,Overall Stats
消火活動回数,Activity Times
消火成功回数,Success Times
平均消火確率,Chance Avg.
鎮火回数,Ext. Times
鎮火割合,Ext. Rate
標準得点,Z-Score
環境評価,Env. Analysis
他地区進捗合計,Progress Sum
指標選択統計,Indicator Stats
編成数,Deploy Limit
基礎水圧,Base Press
増加水圧,Increase Press
使用水圧,Used Press
延焼速度,Spread Speed
初期経過,Start Turn
状況推移,Burning Situation
- Back to Title -,- Back to Title -
絶望的,Abysmal
過酷,Harsh
悪環境,Poor
標準的,Avg.
良好,Good
優良,Great
幸運,Lucky
